dataset,representation,predictor,explainer,seed,variant,component_id,component_split,left_index,right_index,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,true_delta,predicted_delta,absolute_signed_delta_error,gap_score
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,trained,3,test,60,61,0.4766926575698506,0.15789473684210525,0.37857253086419757,0.6491228070175439,-1.4483495121496381,-0.012349605560302734,1.4359999065893354,-1.4359999065893354
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,trained,8,test,109,114,0.36061417062134427,0.3170731707317073,0.06375646412411125,0.7560975609756098,-1.1024864785694142,-0.16917943954467773,0.9333070390247364,-0.9333070390247364
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,trained,9,test,163,165,0.5115649266839298,0.3333333333333333,0.26734739002589475,0.6666666666666666,-1.2232038037013226,0.006143808364868164,1.2293476120661908,-1.2293476120661908
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,trained,10,test,136,137,0.20419531448943212,0.125,0.09050893084506528,0.6071428571428571,-1.6989700043360187,-0.26082754135131836,1.4381424629847004,-1.4381424629847004
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,trained,19,test,540,753,0.335672514619883,0.3333333333333333,0.003508771929824544,0.4222222222222222,-1.5188760028266635,0.09190839156508446,1.610784394391748,-1.610784394391748
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,trained,22,test,456,533,0.8899858231437179,0.3793103448275862,0.822754937287101,0.6551724137931034,-1.414973347970818,-1.9718270003795624,0.5568536524087444,-0.5568536524087444
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,trained,25,test,576,727,0.8461210369848813,0.8846153846153846,-0.3336176794643618,0.6153846153846154,3.330413773349191,2.0853877514600754,1.2450260218891156,-1.2450260218891156
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,trained,27,test,701,706,0.22144861512408612,0.21311475409836064,0.010590948386859459,0.6721311475409836,-1.4393326938302624,0.024442225694656372,1.4637749195249188,-1.4637749195249188
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,trained,3,test,60,61,0.2070384245006848,0.15789473684210525,0.05835812909456321,1.0,-1.4483495121496381,-0.012349605560302734,1.4359999065893354,-1.4359999065893354
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,trained,8,test,109,114,0.29236170841474657,0.3170731707317073,-0.03618464124983539,1.0,-1.1024864785694142,-0.16917943954467773,0.9333070390247364,-0.9333070390247364
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,trained,9,test,163,165,0.4487032419600556,0.3333333333333333,0.17305486294008343,1.0,-1.2232038037013226,0.006143808364868164,1.2293476120661908,-1.2293476120661908
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,trained,10,test,136,137,0.1287804054624331,0.125,0.004320463385637836,1.0,-1.6989700043360187,-0.26082754135131836,1.4381424629847004,-1.4381424629847004
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,trained,19,test,540,753,0.2350880396585101,0.3333333333333333,-0.14736794051223479,0.8,-1.5188760028266635,0.09190839156508446,1.610784394391748,-1.610784394391748
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,trained,22,test,456,533,0.5786857164954857,0.3793103448275862,0.3212158765760604,1.0,-1.414973347970818,-1.9718270003795624,0.5568536524087444,-0.5568536524087444
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,trained,25,test,576,727,0.9782874524751044,0.8846153846153846,0.8118245881175715,1.0,3.330413773349191,2.0853877514600754,1.2450260218891156,-1.2450260218891156
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,trained,27,test,701,706,0.21483956432461776,0.21311475409836064,0.0021919463292017533,1.0,-1.4393326938302624,0.024442225694656372,1.4637749195249188,-1.4637749195249188
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,label_permuted,3,test,60,61,0.15789473684210525,0.15789473684210525,0.0,0.6491228070175439,-1.4483495121496381,0.0,1.4483495121496381,-1.4483495121496381
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,label_permuted,8,test,109,114,0.39533637094612706,0.3170731707317073,0.11459968602825749,0.7560975609756098,-1.1024864785694142,0.08947992324829102,1.1919664018177052,-1.1919664018177052
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,label_permuted,9,test,163,165,0.3510025062656642,0.3333333333333333,0.02650375939849633,0.6666666666666666,-1.2232038037013226,0.0,1.2232038037013226,-1.2232038037013226
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,label_permuted,10,test,136,137,0.6309523809523809,0.125,0.5782312925170068,0.6071428571428571,-1.6989700043360187,0.0,1.6989700043360187,-1.6989700043360187
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,label_permuted,19,test,540,753,0.3333333333333333,0.3333333333333333,0.0,0.4222222222222222,-1.5188760028266635,0.0,1.5188760028266635,-1.5188760028266635
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,label_permuted,22,test,456,533,0.6052922736492716,0.3793103448275862,0.36408199643493766,0.6551724137931034,-1.414973347970818,0.10507774353027344,1.5200510915010914,-1.5200510915010914
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,label_permuted,25,test,576,727,0.8693860487338747,0.8846153846153846,-0.13198757763975222,0.6153846153846154,3.330413773349191,0.0,3.330413773349191,-3.330413773349191
CHEMBL1862_Ki,morgan,xgboost,crem_mean,42,label_permuted,27,test,701,706,0.2885666246321984,0.21311475409836064,0.09588675213675216,0.6721311475409836,-1.4393326938302624,0.040171265602111816,1.4795039594323742,-1.4795039594323742
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,label_permuted,3,test,60,61,0.11929308569119257,0.15789473684210525,-0.04583946074170882,1.0,-1.4483495121496381,0.0,1.4483495121496381,-1.4483495121496381
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,label_permuted,8,test,109,114,0.6038056330364023,0.3170731707317073,0.419858248374732,1.0,-1.1024864785694142,0.08947992324829102,1.1919664018177052,-1.1919664018177052
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,label_permuted,9,test,163,165,0.3374098400652904,0.3333333333333333,0.006114760097935628,1.0,-1.2232038037013226,0.0,1.2232038037013226,-1.2232038037013226
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,label_permuted,10,test,136,137,0.6746753246753245,0.125,0.6282003710575138,1.0,-1.6989700043360187,0.0,1.6989700043360187,-1.6989700043360187
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,label_permuted,19,test,540,753,0.2845505753326456,0.3333333333333333,-0.07317413700103155,0.8,-1.5188760028266635,0.0,1.5188760028266635,-1.5188760028266635
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,label_permuted,22,test,456,533,0.6113649181639296,0.3793103448275862,0.37386570148633097,1.0,-1.414973347970818,0.10507774353027344,1.5200510915010914,-1.5200510915010914
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,label_permuted,25,test,576,727,0.8838298011588266,0.8846153846153846,-0.0068083899568359306,1.0,3.330413773349191,0.0,3.330413773349191,-3.330413773349191
CHEMBL1862_Ki,morgan,xgboost,crem_lime,42,label_permuted,27,test,701,706,0.4067599106552481,0.21311475409836064,0.24609071979104447,1.0,-1.4393326938302624,0.040171265602111816,1.4795039594323742,-1.4795039594323742
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,trained,3,test,60,61,0.4784519168291098,0.15789473684210525,0.3806616512345679,0.6491228070175439,-1.4483495121496381,-0.07116580009460449,1.3771837120550336,-1.3771837120550336
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,trained,8,test,109,114,0.36063017053152013,0.3170731707317073,0.06377989256401162,0.7560975609756098,-1.1024864785694142,0.1476449966430664,1.2501314752124806,-1.2501314752124806
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,trained,9,test,163,165,0.43732517597356646,0.3333333333333333,0.1559877639603497,0.6666666666666666,-1.2232038037013226,0.09595203399658203,1.3191558376979047,-1.3191558376979047
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,trained,10,test,136,137,0.6190476190476191,0.125,0.5646258503401361,0.6071428571428571,-1.6989700043360187,-0.4522209167480469,1.2467490875879719,-1.2467490875879719
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,trained,19,test,540,753,0.5023391812865498,0.3333333333333333,0.25350877192982463,0.4222222222222222,-1.5188760028266635,-0.07128429412841797,1.4475917086982455,-1.4475917086982455
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,trained,22,test,456,533,0.6689643582978015,0.3793103448275862,0.4666647994797914,0.6551724137931034,-1.414973347970818,-0.5655285120010376,0.8494448359697804,-0.8494448359697804
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,trained,25,test,576,727,0.8304422340554879,0.8846153846153846,-0.46950063818577115,0.6153846153846154,3.330413773349191,1.5436397790908813,1.7867739942583096,-1.7867739942583096
CHEMBL1862_Ki,morgan,mlp,crem_mean,42,trained,27,test,701,706,0.16778907523786044,0.21311475409836064,-0.05760138355188568,0.6721311475409836,-1.4393326938302624,-0.2989182472229004,1.140414446607362,-1.140414446607362
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,trained,3,test,60,61,0.4529237554123137,0.15789473684210525,0.3503469595521226,1.0,-1.4483495121496381,-0.07116580009460449,1.3771837120550336,-1.3771837120550336
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,trained,8,test,109,114,0.44473609465869524,0.3170731707317073,0.1869349957502323,1.0,-1.1024864785694142,0.1476449966430664,1.2501314752124806,-1.2501314752124806
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,trained,9,test,163,165,0.29711918640679724,0.3333333333333333,-0.0543212203898041,1.0,-1.2232038037013226,0.09595203399658203,1.3191558376979047,-1.3191558376979047
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,trained,10,test,136,137,0.9682539682539683,0.125,0.963718820861678,1.0,-1.6989700043360187,-0.4522209167480469,1.2467490875879719,-1.2467490875879719
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,trained,19,test,540,753,0.268810994074152,0.3333333333333333,-0.09678350888877198,0.8,-1.5188760028266635,-0.07128429412841797,1.4475917086982455,-1.4475917086982455
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,trained,22,test,456,533,0.3952783080786875,0.3793103448275862,0.025726163015663262,1.0,-1.414973347970818,-0.5655285120010376,0.8494448359697804,-0.8494448359697804
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,trained,25,test,576,727,0.8513102204386468,0.8846153846153846,-0.2886447561983941,1.0,3.330413773349191,1.5436397790908813,1.7867739942583096,-1.7867739942583096
CHEMBL1862_Ki,morgan,mlp,crem_lime,42,trained,27,test,701,706,0.13425294758392795,0.21311475409836064,-0.1002202124454249,1.0,-1.4393326938302624,-0.2989182472229004,1.140414446607362,-1.140414446607362
