dataset,representation,predictor,explainer,seed,variant,component_id,component_split,left_index,right_index,average_precision,prevalence,normalized_ap_lift,supported_atom_fraction,true_delta,predicted_delta,absolute_signed_delta_error,gap_score
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,3,calibration,27,29,0.09714796278758187,0.1,-0.003168930236020156,0.75,-1.059585689984244,0.024680137634277344,1.0842658276185213,-1.0842658276185213
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,0,test,33,48,0.42872300485990894,0.4084507042253521,0.03426984154889367,0.7183098591549296,-2.6066557430171113,-0.8760640025138855,1.7305917405032258,-1.7305917405032258
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,4,test,36,42,0.22047660023417245,0.26582278481012656,-0.06176463071552369,0.7468354430379747,-1.3928003690196264,-0.37398332357406616,1.0188170454455603,-1.0188170454455603
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,6,test,65,72,0.393914778294442,0.35384615384615387,0.062010966408064964,0.5692307692307692,-1.327207295250047,-0.2228168249130249,1.1043904703370222,-1.1043904703370222
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,8,test,86,87,0.4304123561555425,0.3058823529411765,0.17940763174951038,0.5176470588235295,-1.146128035678238,0.06483197212219238,1.2109600078004303,-1.2109600078004303
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,11,calibration,119,125,0.14730142636788654,0.15492957746478872,-0.00902664546466758,1.0,-1.58445804419086,0.0,1.58445804419086,-1.58445804419086
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,7,test,135,148,0.6166666666666667,0.11904761904761904,0.5648648648648649,0.7857142857142857,-2.3869446243705745,-0.34582120180130005,2.0411234225692745,-2.0411234225692745
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,14,calibration,188,189,0.28110340087056074,0.22388059701492538,0.07372938189091478,0.7313432835820896,2.0999136334689967,0.051025986671447754,2.048887646797549,-2.048887646797549
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,18,test,230,459,0.5831851739822096,0.27692307692307694,0.4235539640179494,0.9076923076923077,-2.900010890467595,-0.33046841621398926,2.569542474253606,-2.569542474253606
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,19,test,235,408,0.2845038671459608,0.21428571428571427,0.08936855818576833,1.0,2.400007822415902,0.05311572551727295,2.346892096898629,-2.346892096898629
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,17,test,245,414,0.7838042129827185,0.3870967741935484,0.6472595053928565,0.8064516129032258,-2.800001827817969,-0.11704432964324951,2.6829574981747193,-2.6829574981747193
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,20,calibration,248,250,0.09701133422877264,0.13157894736842105,-0.03980513028201937,1.0,1.0871501757189,0.19138270616531372,0.8957674695535862,-0.8957674695535862
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,10,calibration,260,268,0.22763097419514533,0.16417910447761194,0.07591562984062031,1.0,3.0086001717619175,0.12350034713745117,2.8850998246244663,-2.8850998246244663
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,21,test,278,309,0.14942400594574506,0.14285714285714285,0.007661340270035917,1.0,-1.6020599913279625,-0.13570261001586914,1.4663573813120934,-1.4663573813120934
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,23,calibration,283,290,0.46457267267822355,0.38461538461538464,0.12993059310211322,1.0,-1.698970004336019,-0.35909128189086914,1.3398787224451498,-1.3398787224451498
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,26,calibration,327,328,0.2721434039790292,0.26666666666666666,0.007468278153221637,1.0,-2.500003068051693,-0.2500883936882019,2.2499146743634912,-2.2499146743634912
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,27,calibration,340,346,0.7862991975972745,0.41935483870967744,0.6319597291953062,0.6451612903225806,-1.6000096878225039,-0.6635655164718628,0.9364441713506411,-0.9364441713506411
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,28,calibration,352,555,0.25,0.25,0.0,0.3611111111111111,-2.4913616938342726,-0.022979378700256348,2.4683823151340163,-2.4683823151340163
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,30,test,537,545,0.11450381679389313,0.11450381679389313,0.0,0.0,-1.2016453635280695,-0.44510340690612793,0.7565419566219416,-0.7565419566219416
CHEMBL4616_EC50,morgan,xgboost,crem_mean,42,trained,32,calibration,552,553,0.2744686412761862,0.20253164556962025,0.09020670890188429,0.26582278481012656,2.0,0.17562711238861084,1.8243728876113892,-1.8243728876113892
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,3,calibration,27,29,0.07744006066229128,0.1,-0.025066599264120804,1.0,-1.059585689984244,0.024680137634277344,1.0842658276185213,-1.0842658276185213
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,0,test,33,48,0.3392997051769616,0.4084507042253521,-0.11689811743894586,1.0,-2.6066557430171113,-0.8760640025138855,1.7305917405032258,-1.7305917405032258
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,4,test,36,42,0.2019482563940867,0.26582278481012656,-0.08700151284253704,1.0,-1.3928003690196264,-0.37398332357406616,1.0188170454455603,-1.0188170454455603
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,6,test,65,72,0.3828573622001948,0.35384615384615387,0.04489829864315857,0.7538461538461538,-1.327207295250047,-0.2228168249130249,1.1043904703370222,-1.1043904703370222
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,8,test,86,87,0.6324950860587385,0.3058823529411765,0.47054376805072495,0.8588235294117647,-1.146128035678238,0.06483197212219238,1.2109600078004303,-1.2109600078004303
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,11,calibration,119,125,0.11917441314646034,0.15492957746478872,-0.04231027777668859,1.0,-1.58445804419086,0.0,1.58445804419086,-1.58445804419086
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,7,test,135,148,0.48777777777777775,0.11904761904761904,0.4185585585585585,0.9761904761904762,-2.3869446243705745,-0.34582120180130005,2.0411234225692745,-2.0411234225692745
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,14,calibration,188,189,0.326209215546273,0.22388059701492538,0.13184648926154408,1.0,2.0999136334689967,0.051025986671447754,2.048887646797549,-2.048887646797549
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,18,test,230,459,0.5110345534294922,0.27692307692307694,0.3237711909131275,1.0,-2.900010890467595,-0.33046841621398926,2.569542474253606,-2.569542474253606
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,19,test,235,408,0.1835781353265538,0.21428571428571427,-0.039082373220749714,1.0,2.400007822415902,0.05311572551727295,2.346892096898629,-2.346892096898629
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,17,test,245,414,0.7504753780150731,0.3870967741935484,0.5928808799193298,1.0,-2.800001827817969,-0.11704432964324951,2.6829574981747193,-2.6829574981747193
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,20,calibration,248,250,0.12149656468550075,0.13157894736842105,-0.011610016422756698,1.0,1.0871501757189,0.19138270616531372,0.8957674695535862,-0.8957674695535862
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,10,calibration,260,268,0.46519118702536366,0.16417910447761194,0.3601394559053458,1.0,3.0086001717619175,0.12350034713745117,2.8850998246244663,-2.8850998246244663
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,21,test,278,309,0.16050917784075003,0.14285714285714285,0.020594040814208375,1.0,-1.6020599913279625,-0.13570261001586914,1.4663573813120934,-1.4663573813120934
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,23,calibration,283,290,0.5196629593541428,0.38461538461538464,0.21945230895048193,1.0,-1.698970004336019,-0.35909128189086914,1.3398787224451498,-1.3398787224451498
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,26,calibration,327,328,0.26038408062958085,0.26666666666666666,-0.00856716277784429,1.0,-2.500003068051693,-0.2500883936882019,2.2499146743634912,-2.2499146743634912
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,27,calibration,340,346,0.4111743181482992,0.41935483870967744,-0.014088674300151425,1.0,-1.6000096878225039,-0.6635655164718628,0.9364441713506411,-0.9364441713506411
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,28,calibration,352,555,0.2080620768120768,0.25,-0.05591723091723092,0.8055555555555556,-2.4913616938342726,-0.022979378700256348,2.4683823151340163,-2.4683823151340163
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,30,test,537,545,0.11450381679389313,0.11450381679389313,0.0,0.0,-1.2016453635280695,-0.44510340690612793,0.7565419566219416,-0.7565419566219416
CHEMBL4616_EC50,morgan,xgboost,crem_lime,42,trained,32,calibration,552,553,0.3925927471585491,0.20253164556962025,0.23833058770675203,0.6708860759493671,2.0,0.17562711238861084,1.8243728876113892,-1.8243728876113892
