dataset,desired_endpoints,reused_frozen_endpoints,retained_newly_generated_endpoints,remaining_endpoints,overlap_determinism_checked_endpoints
CHEMBL1862_Ki,16,8,0,8,8
CHEMBL1871_Ki,22,12,0,10,12
CHEMBL2034_Ki,24,17,0,7,17
CHEMBL204_Ki,94,48,0,46,48
CHEMBL2047_EC50,20,11,0,9,11
CHEMBL2147_Ki,28,24,0,4,24
CHEMBL218_EC50,40,26,0,14,26
CHEMBL219_Ki,68,41,0,27,41
CHEMBL228_Ki,62,38,0,24,38
CHEMBL231_Ki,30,21,0,9,21
CHEMBL233_Ki,92,57,0,35,57
CHEMBL236_Ki,74,52,0,22,52
CHEMBL237_EC50,36,29,0,7,29
CHEMBL237_Ki,80,55,0,25,55
CHEMBL238_Ki,38,31,0,7,31
CHEMBL239_EC50,66,42,0,24,42
CHEMBL244_Ki,104,67,0,37,67
CHEMBL262_Ki,26,18,0,8,18
CHEMBL264_Ki,92,62,0,30,62
CHEMBL2835_Ki,10,6,0,4,6
CHEMBL287_Ki,52,33,0,19,33
CHEMBL2971_Ki,22,17,0,5,17
CHEMBL3979_EC50,34,25,0,9,25
CHEMBL4005_Ki,34,20,0,14,20
CHEMBL4203_Ki,12,11,0,1,11
CHEMBL4616_EC50,18,12,0,6,12
CHEMBL4792_Ki,42,26,0,16,26
