dataset,pair_index,left_index,right_index,component_id,component_split,is_sentinel,potency_difference,distance_to_component_median,component_pair_count,component_median_potency_difference,original_pair_index,original_left_index,original_right_index,original_potency_difference,same_as_original,mcs_atoms,match,rationale_left,rationale_right,rationale_valid,rationale_failure_reason,positive_atoms,total_atoms,valid_normalized_ap_prevalence
CHEMBL2147_Ki,51,380,534,5,test,True,1.799999969383821,0.0,3,1.799999969383821,24,130,534,1.899999004230352,False,10,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 7], [5, 8], [6, 5], [7, 6], [16, 9], [17, 10]]","[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",True,,31,35,True
CHEMBL2147_Ki,25,131,270,6,test,True,1.5000381344038098,0.14999880142887312,4,1.3500393329749367,25,131,270,1.5000381344038098,True,28,"[[1, 2], [2, 1], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28]]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",True,,12,58,True
CHEMBL2147_Ki,26,137,605,7,test,True,1.299988937677888,0.0,1,1.299988937677888,26,137,605,1.299988937677888,True,27,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 24], [20, 22], [21, 21], [22, 20], [23, 19], [24, 25], [25, 26], [26, 27]]",[],"[21, 22, 23, 24]",True,,4,55,True
CHEMBL2147_Ki,27,152,581,8,test,True,1.0999976307103818,0.0,1,1.0999976307103818,27,152,581,1.0999976307103818,True,19,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [14, 14], [15, 15], [17, 16], [18, 22], [19, 20], [20, 19], [21, 18], [23, 17]]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",True,,29,49,True
CHEMBL2147_Ki,33,191,348,13,test,True,1.1000002181240482,0.0,1,1.1000002181240482,33,191,348,1.1000002181240482,True,6,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5]]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",True,,21,25,True
CHEMBL2147_Ki,50,378,630,15,test,True,1.1999706407558657,0.0,1,1.1999706407558657,50,378,630,1.1999706407558657,True,22,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [14, 14], [15, 15], [16, 17], [17, 16], [18, 24], [19, 23], [20, 22], [21, 21], [22, 20], [23, 19], [24, 18]]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 24, 25]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 24, 25]",True,,22,52,True
CHEMBL2147_Ki,57,445,541,18,test,True,1.1000078916521128,0.0,1,1.1000078916521128,57,445,541,1.1000078916521128,True,23,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 16], [13, 15], [14, 14], [15, 13], [16, 12], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22]]","[21, 22, 23]",[],True,,3,47,True
CHEMBL2147_Ki,494,826,834,36,test,True,1.2720350992917189,0.0,3,1.2720350992917189,497,834,837,1.3307518772836708,False,29,"[[2, 1], [3, 0], [4, 2], [5, 3], [6, 4], [7, 5], [8, 6], [9, 7], [10, 8], [11, 9], [12, 10], [13, 11], [14, 12], [15, 13], [16, 14], [17, 15], [18, 16], [19, 17], [20, 18], [24, 22], [25, 23], [26, 24], [27, 25], [28, 26], [29, 27], [30, 28], [31, 29], [32, 30], [33, 31]]","[0, 1, 2, 3, 4, 17, 18, 19, 20, 21, 22, 23, 24, 25, 33]","[15, 16, 17, 18, 19, 20, 21, 22, 23]",True,,24,66,True
CHEMBL2147_Ki,618,888,922,39,test,True,1.5678574860519552,0.017292656124130446,4,1.5851501421760856,719,922,931,1.7773866472250512,False,29,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28], [29, 29]]","[14, 18, 19, 20, 21, 22]","[14, 18, 19, 20, 21, 22]",True,,12,60,True
CHEMBL2147_Ki,996,1070,1079,42,test,True,1.0240324809554782,0.13849875735425066,4,1.1625312383097288,997,1070,1286,1.3010299956639797,False,27,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [18, 19], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26], [27, 27], [28, 28], [29, 29]]","[15, 16, 17, 18, 19, 20, 21]","[15, 16, 17, 18, 19, 20, 21]",True,,14,60,True
CHEMBL2147_Ki,1103,1146,1149,44,test,True,1.0053950318867084,0.0,1,1.0053950318867084,1103,1146,1149,1.0053950318867084,True,34,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [26, 25], [27, 26], [28, 27], [29, 28], [30, 29], [31, 30], [32, 31], [33, 32], [34, 33], [35, 34], [36, 35], [37, 36], [38, 37], [39, 38]]","[18, 19, 20, 21, 22, 23, 24, 25]","[18, 19, 20, 21, 22, 23, 24]",True,,15,79,True
CHEMBL2147_Ki,1168,1227,1249,48,test,True,1.0458815569754325,0.0,1,1.0458815569754325,1168,1227,1249,1.0458815569754325,True,24,"[[6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24], [24, 25], [25, 26], [26, 27], [27, 28], [28, 29], [29, 30]]","[0, 1, 2, 3, 4, 5, 6, 7, 30]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 31, 32]",True,,20,64,True
CHEMBL2147_Ki,1441,1353,1354,51,test,True,1.1050089793111102,0.0,1,1.1050089793111102,1441,1353,1354,1.1050089793111102,True,32,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23], [24, 24], [25, 25], [26, 26], [28, 27], [29, 28], [31, 30], [32, 31], [33, 32]]","[25, 26, 27, 28, 29, 30, 31]","[25, 26, 27, 28, 29, 30]",True,,13,67,True
CHEMBL2147_Ki,1500,1447,1449,52,test,True,1.4771212547196626,0.18158895120641283,2,1.2955323035132498,1500,1447,1449,1.4771212547196626,True,24,"[[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23], [23, 24]]","[10, 11, 12, 13]","[10, 11, 12, 13, 14]",True,,9,49,True
