dataset,component_id,rationale,left_atoms,right_atoms,positive_atoms,prevalence,valid_normalized_ap,failure
CHEMBL2147_Ki,5,boundary_extended,18,17,35,1.0,False,all_atoms_positive
CHEMBL2147_Ki,5,strict_unmatched,18,17,17,0.4857142857142857,True,
CHEMBL2147_Ki,6,boundary_extended,29,29,12,0.20689655172413793,True,
CHEMBL2147_Ki,6,strict_unmatched,29,29,2,0.034482758620689655,True,
CHEMBL2147_Ki,7,boundary_extended,27,28,4,0.07272727272727272,True,
CHEMBL2147_Ki,7,strict_unmatched,27,28,1,0.01818181818181818,True,
CHEMBL2147_Ki,8,boundary_extended,25,24,29,0.5918367346938775,True,
CHEMBL2147_Ki,8,strict_unmatched,25,24,11,0.22448979591836735,True,
CHEMBL2147_Ki,13,boundary_extended,12,13,21,0.84,True,
CHEMBL2147_Ki,13,strict_unmatched,12,13,13,0.52,True,
CHEMBL2147_Ki,15,boundary_extended,26,26,22,0.4230769230769231,True,
CHEMBL2147_Ki,15,strict_unmatched,26,26,8,0.15384615384615385,True,
CHEMBL2147_Ki,18,boundary_extended,24,23,3,0.06382978723404255,True,
CHEMBL2147_Ki,18,strict_unmatched,24,23,1,0.02127659574468085,True,
CHEMBL2147_Ki,36,boundary_extended,32,33,16,0.24615384615384617,True,
CHEMBL2147_Ki,36,strict_unmatched,32,33,3,0.046153846153846156,True,
CHEMBL2147_Ki,39,boundary_extended,30,31,13,0.21311475409836064,True,
CHEMBL2147_Ki,39,strict_unmatched,30,31,3,0.04918032786885246,True,
CHEMBL2147_Ki,42,boundary_extended,30,30,20,0.3333333333333333,True,
CHEMBL2147_Ki,42,strict_unmatched,30,30,0,0.0,False,no_positive_atoms
CHEMBL2147_Ki,44,boundary_extended,40,39,15,0.189873417721519,True,
CHEMBL2147_Ki,44,strict_unmatched,40,39,11,0.13924050632911392,True,
CHEMBL2147_Ki,48,boundary_extended,31,33,20,0.3125,True,
CHEMBL2147_Ki,48,strict_unmatched,31,33,16,0.25,True,
CHEMBL2147_Ki,51,boundary_extended,34,33,13,0.19402985074626866,True,
CHEMBL2147_Ki,51,strict_unmatched,34,33,3,0.04477611940298507,True,
CHEMBL2147_Ki,52,boundary_extended,24,25,9,0.1836734693877551,True,
CHEMBL2147_Ki,52,strict_unmatched,24,25,1,0.02040816326530612,True,
CHEMBL239_EC50,1,boundary_extended,33,26,15,0.2542372881355932,True,
CHEMBL239_EC50,1,strict_unmatched,33,26,9,0.15254237288135594,True,
CHEMBL239_EC50,2,boundary_extended,28,30,34,0.5862068965517241,True,
CHEMBL239_EC50,2,strict_unmatched,28,30,2,0.034482758620689655,True,
CHEMBL239_EC50,7,boundary_extended,37,35,4,0.05555555555555555,True,
CHEMBL239_EC50,7,strict_unmatched,37,35,2,0.027777777777777776,True,
