dataset,component_id,component_split,left_index,right_index,positive_atoms,total_atoms,valid_normalized_ap_prevalence
CHEMBL1862_Ki,2,test,53,164,4,53,True
CHEMBL1862_Ki,7,test,103,104,8,44,True
CHEMBL1862_Ki,10,calibration,135,144,15,56,True
CHEMBL1862_Ki,11,test,139,143,11,59,True
CHEMBL1862_Ki,12,test,141,145,11,65,True
CHEMBL1862_Ki,13,test,169,341,17,69,True
CHEMBL1862_Ki,16,calibration,214,330,20,73,True
CHEMBL1862_Ki,18,test,394,397,18,46,True
CHEMBL1862_Ki,1,calibration,403,405,8,56,True
CHEMBL1862_Ki,20,test,419,420,14,48,True
CHEMBL1862_Ki,19,calibration,431,477,13,49,True
CHEMBL1862_Ki,21,calibration,454,455,15,55,True
CHEMBL1862_Ki,22,calibration,456,533,22,58,True
CHEMBL1862_Ki,26,calibration,693,729,26,50,True
CHEMBL1862_Ki,27,test,709,711,14,60,True
CHEMBL1871_Ki,0,calibration,7,348,14,48,True
CHEMBL1871_Ki,1,test,9,11,12,54,True
CHEMBL1871_Ki,3,test,18,520,10,42,True
CHEMBL1871_Ki,5,test,37,61,3,47,True
CHEMBL1871_Ki,6,calibration,91,92,12,46,True
CHEMBL1871_Ki,8,calibration,102,152,12,45,True
CHEMBL1871_Ki,10,test,145,149,8,42,True
CHEMBL1871_Ki,11,test,173,175,11,51,True
CHEMBL1871_Ki,12,calibration,182,185,17,66,True
CHEMBL1871_Ki,17,test,244,308,13,41,True
CHEMBL1871_Ki,22,calibration,356,365,20,48,True
CHEMBL1871_Ki,23,test,369,379,22,44,True
CHEMBL1871_Ki,24,test,395,404,22,46,True
CHEMBL1871_Ki,25,test,408,409,4,51,True
CHEMBL1871_Ki,27,calibration,449,472,27,55,True
CHEMBL1871_Ki,31,calibration,489,498,13,61,True
CHEMBL1871_Ki,35,calibration,574,576,19,69,True
CHEMBL2034_Ki,0,calibration,0,12,14,58,True
CHEMBL2034_Ki,1,calibration,14,69,8,54,True
CHEMBL2034_Ki,2,calibration,40,446,20,52,True
CHEMBL2034_Ki,3,test,49,104,11,59,True
CHEMBL2034_Ki,5,test,51,53,6,52,True
CHEMBL2034_Ki,10,calibration,166,167,17,81,True
CHEMBL2034_Ki,12,test,206,215,12,59,True
CHEMBL2034_Ki,15,test,232,235,8,64,True
CHEMBL2034_Ki,17,test,258,267,15,67,True
CHEMBL2034_Ki,19,test,279,282,12,48,True
CHEMBL2034_Ki,20,test,300,301,12,50,True
CHEMBL2034_Ki,21,test,310,326,16,62,True
CHEMBL2034_Ki,22,calibration,353,374,14,50,True
CHEMBL2034_Ki,23,test,358,359,17,68,True
CHEMBL2034_Ki,29,calibration,423,493,16,50,True
CHEMBL2034_Ki,30,test,430,434,4,46,True
CHEMBL2034_Ki,31,test,488,490,9,65,True
CHEMBL2034_Ki,33,test,495,496,12,66,True
CHEMBL2034_Ki,35,calibration,520,528,20,54,True
CHEMBL2034_Ki,37,calibration,543,551,14,72,True
CHEMBL2034_Ki,36,calibration,569,588,21,69,True
CHEMBL2034_Ki,38,calibration,596,601,19,77,True
CHEMBL2034_Ki,43,calibration,661,691,30,80,True
CHEMBL2034_Ki,45,calibration,705,716,29,79,True
CHEMBL2047_EC50,1,calibration,4,114,13,73,True
CHEMBL2047_EC50,2,test,10,590,20,64,True
CHEMBL2047_EC50,4,calibration,42,94,22,66,True
CHEMBL2047_EC50,5,test,57,284,12,67,True
CHEMBL2047_EC50,6,calibration,64,80,19,73,True
CHEMBL2047_EC50,10,test,170,184,18,58,True
CHEMBL2047_EC50,11,test,172,185,20,56,True
CHEMBL2047_EC50,13,calibration,191,211,22,76,True
CHEMBL2047_EC50,14,calibration,221,236,17,77,True
CHEMBL2047_EC50,15,calibration,222,239,7,72,True
CHEMBL2047_EC50,16,test,229,243,9,77,True
CHEMBL2047_EC50,18,test,324,342,10,66,True
CHEMBL2047_EC50,19,test,334,340,18,64,True
