dataset,component_id,component_split,left_row_id,right_row_id,left_unimol_2d_fallback,right_unimol_2d_fallback,any_unimol_2d_fallback
CHEMBL1862_Ki,2,calibration,CHEMBL1862_Ki:53,CHEMBL1862_Ki:164,False,False,False
CHEMBL1862_Ki,3,test,CHEMBL1862_Ki:60,CHEMBL1862_Ki:126,False,False,False
CHEMBL1862_Ki,6,calibration,CHEMBL1862_Ki:101,CHEMBL1862_Ki:102,False,False,False
CHEMBL1862_Ki,8,test,CHEMBL1862_Ki:109,CHEMBL1862_Ki:114,False,False,False
CHEMBL1862_Ki,9,test,CHEMBL1862_Ki:115,CHEMBL1862_Ki:163,False,False,False
CHEMBL1862_Ki,10,test,CHEMBL1862_Ki:135,CHEMBL1862_Ki:144,False,False,False
CHEMBL1862_Ki,11,calibration,CHEMBL1862_Ki:139,CHEMBL1862_Ki:143,False,False,False
CHEMBL1862_Ki,12,calibration,CHEMBL1862_Ki:141,CHEMBL1862_Ki:145,False,False,False
CHEMBL1862_Ki,19,test,CHEMBL1862_Ki:431,CHEMBL1862_Ki:477,False,False,False
CHEMBL1862_Ki,21,calibration,CHEMBL1862_Ki:454,CHEMBL1862_Ki:455,False,False,False
CHEMBL1862_Ki,22,test,CHEMBL1862_Ki:456,CHEMBL1862_Ki:533,False,False,False
CHEMBL1862_Ki,25,test,CHEMBL1862_Ki:576,CHEMBL1862_Ki:727,False,False,False
CHEMBL1862_Ki,24,calibration,CHEMBL1862_Ki:616,CHEMBL1862_Ki:664,False,False,False
CHEMBL1862_Ki,26,calibration,CHEMBL1862_Ki:693,CHEMBL1862_Ki:729,False,False,False
CHEMBL1862_Ki,27,test,CHEMBL1862_Ki:709,CHEMBL1862_Ki:711,False,False,False
CHEMBL1871_Ki,1,test,CHEMBL1871_Ki:9,CHEMBL1871_Ki:11,False,False,False
CHEMBL1871_Ki,5,calibration,CHEMBL1871_Ki:37,CHEMBL1871_Ki:61,False,False,False
CHEMBL1871_Ki,6,test,CHEMBL1871_Ki:91,CHEMBL1871_Ki:92,False,False,False
CHEMBL1871_Ki,8,calibration,CHEMBL1871_Ki:102,CHEMBL1871_Ki:152,False,False,False
CHEMBL1871_Ki,4,calibration,CHEMBL1871_Ki:103,CHEMBL1871_Ki:106,False,False,False
CHEMBL1871_Ki,10,calibration,CHEMBL1871_Ki:145,CHEMBL1871_Ki:149,False,False,False
CHEMBL1871_Ki,11,calibration,CHEMBL1871_Ki:173,CHEMBL1871_Ki:175,False,False,False
CHEMBL1871_Ki,12,test,CHEMBL1871_Ki:182,CHEMBL1871_Ki:185,False,False,False
CHEMBL1871_Ki,9,test,CHEMBL1871_Ki:228,CHEMBL1871_Ki:239,False,False,False
CHEMBL1871_Ki,18,test,CHEMBL1871_Ki:248,CHEMBL1871_Ki:252,False,False,False
CHEMBL1871_Ki,19,test,CHEMBL1871_Ki:258,CHEMBL1871_Ki:271,False,False,False
CHEMBL1871_Ki,14,test,CHEMBL1871_Ki:313,CHEMBL1871_Ki:315,False,False,False
CHEMBL1871_Ki,21,calibration,CHEMBL1871_Ki:336,CHEMBL1871_Ki:338,False,False,False
CHEMBL1871_Ki,25,test,CHEMBL1871_Ki:408,CHEMBL1871_Ki:409,False,False,False
CHEMBL1871_Ki,26,calibration,CHEMBL1871_Ki:448,CHEMBL1871_Ki:471,False,False,False
CHEMBL1871_Ki,32,calibration,CHEMBL1871_Ki:526,CHEMBL1871_Ki:527,False,False,False
CHEMBL1871_Ki,35,test,CHEMBL1871_Ki:574,CHEMBL1871_Ki:576,False,False,False
CHEMBL1871_Ki,37,test,CHEMBL1871_Ki:597,CHEMBL1871_Ki:605,True,True,True
CHEMBL1871_Ki,38,test,CHEMBL1871_Ki:602,CHEMBL1871_Ki:609,True,True,True
CHEMBL2034_Ki,1,test,CHEMBL2034_Ki:14,CHEMBL2034_Ki:69,False,False,False
CHEMBL2034_Ki,2,calibration,CHEMBL2034_Ki:40,CHEMBL2034_Ki:446,False,False,False
CHEMBL2034_Ki,3,test,CHEMBL2034_Ki:49,CHEMBL2034_Ki:104,False,False,False
CHEMBL2034_Ki,4,calibration,CHEMBL2034_Ki:50,CHEMBL2034_Ki:52,False,False,False
CHEMBL2034_Ki,8,test,CHEMBL2034_Ki:109,CHEMBL2034_Ki:114,False,False,False
CHEMBL2034_Ki,9,test,CHEMBL2034_Ki:165,CHEMBL2034_Ki:172,False,False,False
CHEMBL2034_Ki,13,calibration,CHEMBL2034_Ki:211,CHEMBL2034_Ki:221,False,False,False
CHEMBL2034_Ki,16,test,CHEMBL2034_Ki:251,CHEMBL2034_Ki:256,False,False,False
CHEMBL2034_Ki,18,calibration,CHEMBL2034_Ki:259,CHEMBL2034_Ki:268,False,False,False
CHEMBL2034_Ki,19,calibration,CHEMBL2034_Ki:279,CHEMBL2034_Ki:282,False,False,False
CHEMBL2034_Ki,20,test,CHEMBL2034_Ki:300,CHEMBL2034_Ki:301,False,False,False
CHEMBL2034_Ki,24,calibration,CHEMBL2034_Ki:369,CHEMBL2034_Ki:371,False,False,False
CHEMBL2034_Ki,27,calibration,CHEMBL2034_Ki:400,CHEMBL2034_Ki:401,False,False,False
CHEMBL2034_Ki,29,calibration,CHEMBL2034_Ki:423,CHEMBL2034_Ki:493,False,False,False
